English	中文 (Chinese)
outer medullary collecting duct	外髓质集合管
palatine tonsil	腭扁桃体
pancreas	胰腺
pancreatic acinus	胰泡
pancreatic duct	胰管
paraaortic lymph node	主动脉旁淋巴结
penicillar arteriole	笔毛小动脉
periarterial lymphatic sheath	动脉周淋巴鞘
peripheral nervous system	周围神经系统
pigmented layer of retina	视网膜色素层
pituitary gland	垂体
pons	脑桥
popliteal lymph node	腘淋巴结
portal triad	门管三联
prefrontal cortex	前额叶皮层
primary motor cortex	初级运动皮层
pronephros	原肾
proximal convoluted tubule segment 1	近曲小管第1段
proximal convoluted tubule segment 2	近曲小管第2段
proximal straight tubule	近直小管
proximal tubule	近端小管
pulmonary alveolar duct	肺泡管
pulmonary alveolar parenchyma	肺泡实质
pulmonary capillary	肺毛细血管
pulmonary interlobular septum	肺小叶间隔
pulmonary nerve plexus	肺神经丛
pulmonary vascular system	肺血管系统
red pulp of spleen	脾红髓
renal afferent arteriole	肾入球小动脉
renal collecting system	肾集合系统
renal connecting tubule	肾连接小管
renal efferent arteriole	肾出球小动脉
renal glomerulus	肾小球
respiratory system lymphatic vessel endothelium	呼吸系统淋巴管内皮
retina	视网膜
segmental bronchus	节支气管
short descending thin limb	短降支薄段
smooth muscle tissue of bronchiole	细支气管平滑肌组织
smooth muscle tissue of respiratory bronchiole	呼吸性细支气管平滑肌组织
smooth muscle tissue of terminal bronchiole	终末细支气管平滑肌组织
somatosensory cortex	躯体感觉皮层
spinal cord	脊髓
spleen	脾脏
spleen central arteriole	脾中央小动脉
spleen germinal center	脾生发中心
spleen perifollicular zone	脾滤泡周区
spleen pulp	脾髓
spleen trabecular artery	脾小梁动脉
spleen trabecular vein	脾小梁静脉
splenic cord	脾索
splenic lymph node	脾淋巴结
sputum	痰液
stroma of pancreas	胰腺基质
subcapsular sinus floor	被膜下窦底
subcapsular sinus of lymph node	淋巴结被膜下窦
subparaventricular zone	副脑室下区
subsegmental bronchus	亚节支气管
superior frontal gyrus	额上回
supraclavicular lymph node	锁骨上淋巴结
sympathetic ganglion	交感神经节
sympathetic nerve	交感神经
systemic artery	体循环动脉
taste bud	味蕾
temporal lobe	颞叶
terminal bronchiole epithelium	终末细支气管上皮
thoracic duct	胸导管
thoracic lymph node	胸淋巴结
thymus	胸腺
thymus corticomedullary boundary	胸腺皮髓交界区
thymus epithelium	胸腺上皮
thymus subcapsular epithelium	胸腺被膜下上皮
thymus trabecula	胸腺小梁
tip of renal papilla	肾乳头尖
tonsil	扁桃体
tonsil germinal center	扁桃体生发中心
trabecula of lymph node	淋巴结小梁
trabecular sinus of lymph node	淋巴结小梁窦
umbilical cord blood	脐带血
upper part of cisterna chyli	乳糜池上部
venous blood	静脉血
venous blood vessel	静脉血管
ventral pancreatic duct	腹侧胰管
ventricular zone	脑室区
venule of lymph node	淋巴结微静脉
visceral pleura	脏胸膜
white matter	白质
white matter of forebrain	前脑白质
white pulp of spleen	脾白髓
